"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680903474933680E9,"2023-04-07 17:37:54.934 UTC-04:00"
"PAUSE",3.064350566666690E1,1.680903505576866E9,"2023-04-07 17:38:25.577 UTC-04:00"
