Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.7822024583,-4.308429052,8.552883718,-7.384697154,12.09330943,1
0.7921714583,-5.379158319,8.434944209,-7.82314068,12.69980937,1
0.8021414583,-6.12562147,7.791983206,-8.224610506,12.87953643,1
0.8121104583,-6.226250882,6.342990543,-8.720654368,12.45188908,1
0.8220804583,-6.099804844,5.754230306,-8.825991958,12.17443714,1
0.8320504583,-5.916967673,5.773774624,-8.875314977,12.12922899,1
0.8420194583,-5.758892875,5.711750869,-9.001354049,12.11665465,1
0.8519894583,-5.589979094,5.645277382,-8.980449083,11.99022472,1
0.8619584583,-5.359070794,5.722292229,-9.136228849,12.03889304,1
0.8719284583,-5.506362156,5.900770301,-9.0364543,12.11596553,1
0.8818974583,-5.5394305,6.08269706,-8.853327107,12.08577241,1
0.8918674583,-5.603704264,6.36777572,-8.381263846,11.92458187,1
0.9018364583,-5.850260298,6.590898453,-7.676349839,11.68725095,1
0.9118064583,-5.888130959,6.619773758,-7.034424963,11.31258703,1
0.9217754583,-5.840420018,6.669685591,-6.594449467,11.04907126,1
0.9317454583,-5.797373986,6.767895425,-6.246726077,10.88280939,1
0.9417144583,-5.616317877,6.807089896,-5.891704777,10.61092289,1
0.9516844583,-5.423246909,6.750977676,-5.453972858,10.23392039,1
0.9616534583,-5.325559816,6.427295698,-5.014843454,9.737575274,1
0.9716234583,-5.119596323,5.573453693,-4.75436403,8.937428596,1
0.9815934583,-4.659098854,3.981326453,-4.624543564,7.67753643,1
0.9915624583,-3.310884122,1.088460948,-4.746260374,5.888436842,1
1.001532458,-0.5939110494,-4.485058819,-4.865960772,6.644249934,1
1.011502458,3.803380478,-14.47551325,-3.363474272,15.34011558,1
1.021472458,10.72919984,-27.45020295,-0.7977180898,29.48331266,1
1.031441458,17.11259348,-34.02099984,-0.1395758151,38.08265704,1
1.041411458,23.31181502,-34.24154512,0.7234537002,41.43003158,1
1.051380458,30.62657889,-34.48380228,2.077156702,46.16746186,1
1.061350458,32.22224194,-28.85791544,3.964328012,43.43694344,1
1.071319458,27.79331522,-22.37922154,1.379471608,35.70995477,1
1.081289458,24.72348257,-23.55151344,-2.183770155,34.2153946,1
1.091259458,25.57368176,-26.08942021,1.438173122,36.56144673,1
1.101228458,21.69489383,-22.61356859,13.03661522,33.94105536,1
1.111198458,11.89195961,-13.29375588,20.0936385,26.86814018,1
1.121167458,4.552034581,-0.495367924,19.73820731,20.26236008,1
1.131137458,1.02684182,6.815952521,17.5962085,18.89809954,1
1.141106458,2.180794507,3.31908718,13.76329666,14.32482248,1
1.151076458,3.28894186,-0.4734110445,9.158397982,9.742561787,1
1.161045458,3.237524369,-0.4814819562,4.93416942,5.921099288,1
1.171015458,3.117186332,0.7036697191,2.141420526,3.846775737,1
1.180984458,2.413722435,1.779410634,0.6183246365,3.061810503,1
1.190954458,1.288743287,2.898119813,-0.3944484901,3.196176985,1
1.200924458,0.09873432934,4.167609388,-1.270890568,4.358196796,1
1.210893458,-1.332353575,5.115020292,-2.05962675,5.672800101,1
1.220863458,-2.480481851,5.476901545,-3.076336514,6.753746153,1
1.230832458,-3.041163173,5.648861141,-4.105131889,7.616456752,1
1.240802458,-3.373270989,5.844963305,-5.201264384,8.520311285,1
1.250771458,-3.71930161,5.774106161,-6.145803135,9.216528772,1
1.260741458,-3.86557965,5.402898599,-6.94316396,9.609450821,1
1.270710458,-4.003791456,4.923177824,-7.610352901,9.90885953,1
1.280680458,-4.313752942,4.467229781,-8.17972494,10.26998084,1
1.290649458,-4.645126348,4.074840681,-8.668125907,10.64508958,1
1.300619458,-4.928274257,3.779609208,-9.364825745,11.23713906,1
1.310589458,-4.961889315,3.738055677,-10.18759214,11.93232749,1
1.320558458,-5.103499523,3.920652235,-10.39063787,12.22221652,1
1.330528458,-5.350070175,4.081083753,-10.2528915,12.26377917,1
1.340497458,-5.725264953,4.271796831,-9.954592288,12.25237996,1
1.350467458,-5.935839561,4.370398136,-9.434536834,11.97267958,1
1.360436458,-5.968267635,4.291230637,-9.01624106,11.63303407,1
1.370406458,-6.338191733,4.194413317,-8.737625912,11.58066855,1
1.380375458,-6.674565092,4.188322857,-8.490229633,11.5834307,1
1.390345458,-6.595042959,4.192929294,-8.26412482,11.37413763,1
1.400314458,-6.42569473,4.190916097,-7.919113369,11.02568307,1
1.410284458,-6.439304125,4.248202146,-7.391979861,10.68425128,1
1.420253458,-6.508939201,4.231533196,-6.853087603,10.35552859,1
1.430223458,-6.659347714,4.125243972,-6.368161052,10.09544575,1
1.440193458,-6.845561067,3.856914076,-5.803511224,9.768225788,1
1.450162458,-6.866585315,3.225334971,-5.317035745,9.264105391,1
1.460132458,-6.586025968,2.150007454,-5.037552286,8.565932707,1
1.470101458,-6.148013383,0.5098172709,-4.899011282,7.877708661,1
1.480071458,-5.260237647,-1.736746717,-4.466185176,7.115700899,1
1.490040458,-3.736086627,-4.363544322,-3.884691274,6.934672929,1
1.500010458,-1.719183143,-7.846751736,-2.769200695,8.496797984,1
1.509979458,1.474674219,-13.77232008,-1.03688339,13.88980171,1
1.519949458,6.340783219,-20.67767009,0.1616174792,21.62863132,1
1.529919458,10.98124992,-24.67071028,1.813280046,27.06510262,1
1.539888458,16.08493246,-27.02707036,3.247012646,31.61851792,1
