Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.8245965,0.6166292363,3.045352703,0.7583142883,3.198350397,0
0.8346765,0.218730889,2.861580563,0.6890364772,2.951483997,0
0.8447575,-0.1216600925,2.689974139,0.133488425,2.696030639,0
0.8548385,-0.1191218162,2.721214643,-0.3226224625,2.742860622,0
0.8649185,0.1054633051,2.767285439,-0.2275397193,2.778626556,0
0.8749995,0.5097228384,2.686669877,0.1238555758,2.737398876,0
0.8850805,0.8570082718,2.716857297,0.6782454407,2.9284456,0
0.8951605,1.262151904,2.925154999,1.066315642,3.359551793,0
0.9052415,1.367523408,3.029351213,1.597720979,3.687790852,0
0.9153215,1.585866627,2.974419546,1.925650667,3.882045219,0
0.9254025,2.016317593,2.855101263,2.04905513,4.051637543,0
0.9354835,1.633853556,2.767080787,1.607348127,3.593018442,0
0.9455635,0.8747498935,2.912436721,0.7827093105,3.140081033,0
0.9556445,0.5115693891,3.180984718,-0.3928364128,3.245718327,0
0.9657255,0.821202262,3.596130597,0.2019264297,3.69422559,0
0.9758055,1.119317874,3.241242614,1.924115188,3.932015443,0
0.9858865,1.513007981,2.067886527,1.249760485,2.850833055,0
0.9959665,1.744766466,1.60860177,1.570659627,2.845835789,0
1.0060475,1.632215166,1.779683699,1.543644906,2.866049548,0
1.0161285,1.4685937,2.220174919,0.9501468158,2.826432929,0
1.0262085,1.390277263,2.624770668,0.7118129902,3.054336206,0
1.0362895,1.303658364,2.746750018,0.6390736274,3.106859491,0
1.0463705,0.975434854,2.660713502,0.268791241,2.846597658,0
1.0564505,0.5763834357,2.498546239,-0.1962863517,2.571668622,0
1.0665315,0.4470360088,2.35274884,-0.5659789002,2.460812958,0
1.0766115,0.6241528487,2.358312466,-0.9441605826,2.615844733,0
1.0866925,1.057235062,2.41190629,-1.411424595,2.987834888,0
1.0967735,1.648885578,2.326916426,-1.526321506,3.234659339,0
1.1068535,2.164833362,2.128048528,-1.400770091,3.343239578,0
1.1169345,2.486793335,1.816896549,-1.140276196,3.284126058,0
1.1270155,2.592316282,1.38695546,-1.135575034,3.151710617,0
1.1370955,2.607076993,0.9881291592,-1.187948545,3.030589287,0
1.1471765,2.497067478,0.8464388448,-1.269111845,2.926166363,0
1.1572565,2.113938028,1.248535493,-1.286939421,2.771964634,0
1.1673375,1.827585844,1.794987032,-1.11233396,2.792729006,0
1.1774185,1.637056076,2.094211569,-0.9481939919,2.822188253,0
1.1874985,1.437283614,2.092089029,-0.766565879,2.651460718,0
1.1975795,1.336089946,2.014447361,-0.4534094739,2.45941348,0
1.2076605,1.24801626,1.841878778,-0.2755629015,2.241873531,0
1.2177405,1.057127473,1.650547941,-0.2577920437,1.976937971,0
1.2278215,0.9317701864,1.42943782,-0.3900301878,1.750317603,0
1.2379015,1.045806094,0.9392408815,-0.3839449905,1.45715393,0
1.2479825,1.324950415,0.2908445996,-0.09361041427,1.359723168,0
1.2580635,1.614434368,-0.3168015593,0.2809493566,1.669039873,0
1.2681435,1.76190524,-0.3886141384,0.4766831464,1.866161259,0
1.2782245,1.60065482,0.1150138548,0.3155631191,1.635513412,0
1.2883055,1.473070913,0.6440637875,-0.003106040955,1.607720661,0
1.2983855,1.457504455,0.7570036349,-0.125000753,1.647118371,0
1.3084665,1.191109988,0.6091886544,0.2728743517,1.365398928,0
1.3185465,0.6677017415,0.5673801854,1.105207373,1.410400379,0
1.3286275,0.1976727265,0.5638578227,1.88760035,1.97991041,0
1.3387085,0.06624193668,0.3859963399,2.315421238,2.348309324,0
