Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
105.35015837,-3.692129014,-1.689661429,-0.1827816224,4.064502617,1
105.36012837,53.5502417,-6.611502287,19.9279097,57.51923099,1
105.37009837,70.59506711,-6.51536646,33.08632008,78.23565733,1
105.38006737,67.43616265,-4.077675118,-0.9202476633,67.56560015,1
105.39003737,48.90048903,-1.567524788,-11.64274192,50.29183235,1
105.40000737,21.3423114,-0.01040658206,-10.80395299,23.92111545,1
105.40997737,13.23151929,-1.306132321,-9.056351205,16.08715579,1
105.41994737,8.090593493,-0.5945884493,-6.507172172,10.39973693,1
105.42991637,5.074072241,-0.09065698564,-3.396118984,6.106394349,1
105.43988637,2.822802998,0.7626265367,-0.5120033987,2.968495154,1
105.44985637,0.8027730078,1.565477093,0.3522867031,1.794232134,1
105.45982637,-1.042233446,1.966491129,-0.4137374313,2.263739512,1
105.46979537,-2.900291469,2.172273359,-1.221472679,3.823932225,1
105.47976537,-4.435379705,2.260197795,-1.450764078,5.185152227,1
105.48973537,-5.865998079,2.081910781,-1.112864449,6.323191697,1
105.49970537,-7.108569996,1.976433735,-0.459772414,7.392526522,1
105.50967537,-8.139324188,1.836161663,-0.0156902723,8.343880037,1
105.51964437,-9.039647464,1.649433754,0.4630271204,9.200557163,1
105.52961437,-9.658695109,1.54922885,0.7222619645,9.808779923,1
105.53958437,-10.07611848,1.497819838,0.7696245575,10.21586755,1
105.54955437,-10.38404923,1.391923254,0.7808559624,10.50598233,1
105.55952437,-10.53122131,1.234663851,0.8151919091,10.63463939,1
105.56949337,-10.5676249,1.04422815,0.7981588237,10.64904531,1
105.57946337,-10.55080012,0.9274175922,0.7151379362,10.61559743,1
105.58943337,-10.5201537,0.8739097217,0.6612207607,10.57707733,1
105.59940337,-10.47250006,0.7961773485,0.667423414,10.52390659,1
105.60937337,-10.45358315,0.7558230089,0.6599856826,10.50163083,1
105.61934237,-10.41463952,0.6657920408,0.5316592526,10.44943333,1
105.62931237,-10.37545382,0.5852729211,0.4648500995,10.40233974,1
105.63928237,-10.36349276,0.4801207244,0.4070012927,10.3825887,1
105.64925237,-10.36292908,0.3880539386,0.3216821937,10.37518022,1
105.65922137,-10.35435707,0.2428053376,0.2359842682,10.35989157,1
105.66919137,-10.36835179,0.1359445662,0.1221717421,10.36996267,1
105.67916137,-10.42461019,0.03437491287,0.05455687006,10.42480963,1
