Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.774411125,3.912268497,2.147725579,1.542836967,4.72217279,1
0.784492125,3.516235996,1.72560514,2.116271651,4.451992182,1
0.794573125,3.206382099,1.454549857,2.406296471,4.264605979,1
0.804654125,3.371126815,1.428979983,2.526497684,4.448558232,1
0.814735125,3.386362905,1.307096527,2.253802257,4.272654873,1
0.824816125,3.123720888,1.171395516,1.539216371,3.674096716,1
0.834896125,3.028299007,1.166118988,1.033789482,3.405752349,1
0.844977125,2.767994122,1.240629473,0.6401958543,3.100129623,1
0.855058125,3.028321811,1.441427536,0.5097122769,3.392381602,1
0.865139125,3.015372275,1.19573689,0.6265636557,3.303761293,1
0.875220125,2.47590962,1.093705316,0.3303255844,2.726799361,1
0.885301125,2.376929415,1.085133297,0.1366155159,2.616480751,1
0.895382125,2.243235753,1.103072555,-0.03245087743,2.499985753,1
0.905463125,1.947762205,1.321461382,0.1107532811,2.356332761,1
0.915544125,1.733615241,1.475464763,0.3706128637,2.306463086,1
0.925624125,1.36927348,1.616349331,0.4627334074,2.168321293,1
0.935705125,1.198046832,1.853874341,0.6955608004,2.314297109,1
0.945786125,1.106915053,1.865446565,0.4836822269,2.222408675,1
0.955867125,1.130901501,1.404226965,-0.2741829586,1.823723628,1
0.965948125,1.157596379,1.128326679,-0.9459192058,1.872942502,1
0.976029125,1.305139464,1.149898227,-1.027661526,2.02033244,1
0.986110125,1.450431371,1.088658584,-0.7086936468,1.947094081,1
0.996191125,1.587467009,0.9994979006,-0.4157001954,1.921419843,1
1.006271125,1.615698244,0.9765762305,-0.1912665536,1.897568139,1
1.016352125,1.637688745,1.060534061,-0.02664342284,1.951273121,1
1.026433125,1.66385942,1.322654214,0.2650244647,2.141980464,1
1.036514125,1.659385423,1.691989498,0.6578222128,2.45949558,1
1.046595125,1.628875237,1.878154904,0.7536389277,2.597820627,1
1.056676125,1.274304172,1.701064961,0.6938000576,2.23580671,1
1.066757125,0.8155465427,1.1522453,0.2597426748,1.435357674,1
1.076838125,0.6375154907,0.6730344021,-0.3925289223,1.006717568,1
