"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681495936560010E9,"2023-04-14 14:12:16.560 UTC-04:00"
"PAUSE",4.073107966667158E1,1.681495977291162E9,"2023-04-14 14:12:57.291 UTC-04:00"
