"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681244072109751E9,"2023-04-11 16:14:32.110 UTC-04:00"
"PAUSE",3.059694183332613E1,1.681244102705839E9,"2023-04-11 16:15:02.706 UTC-04:00"
